"Compound name","Smiles","logkp (cm/s)","skin donor type","skin source site","used layer","skin preparation","storage temperature (°C)","storage duration (days)","neat","donor/skin surface temperature (°C)","donor pH","donor type","acceptor temperature (°C)","acceptor pH","acceptor type","cell type","flux","notes","reference","DOI"
"Hydrocortisone","OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-7.357","Cadaver","abdomen","epidermis, dermis","","-30","","0","37","1","","37","","NaCl, Sodium azide","Flow through cell","Jss= 0.19+-0.09 ug/(cm^2*h); c=1.2 mg/ml","donor medium applied as suspention","Sznitowska, 2001","10.1016/s0168-3659(01)00443-6"
"Hydrocortisone","OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-7.357","Cadaver","abdomen","epidermis, dermis","","-30","","0","37","2","Ethanol, Britton-Robinson buffer","37","","NaCl, Sodium azide","Flow through cell","Jss= 0.19+-0.10 ug/(cm^2*h); c=1.2 mg/ml","donor medium applied as suspention","Sznitowska, 2001","10.1016/s0168-3659(01)00443-6"
"Hydrocortisone","OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-7.431","Cadaver","abdomen","epidermis, dermis","","-30","","0","37","3.5","Ethanol, Britton-Robinson buffer","37","","NaCl, Sodium azide","Flow through cell","Jss= 0.16+-0.08 ug/(cm^2*h); c=1.2 mg/ml","donor medium applied as suspention","Sznitowska, 2001","10.1016/s0168-3659(01)00443-6"
"Hydrocortisone","OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-7.681","Cadaver","abdomen","epidermis, dermis","","-30","","0","37","6","Ethanol, Britton-Robinson buffer","37","","NaCl, Sodium azide","Flow through cell","Jss= 0.09+-0.05 ug/(cm^2*h); c=1.2 mg/ml","donor medium applied as suspention","Sznitowska, 2001","10.1016/s0168-3659(01)00443-6"
"Hydrocortisone","OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-7.577","Cadaver","abdomen","epidermis, dermis","","-30","","0","37","10","Ethanol, Britton-Robinson buffer","37","","NaCl, Sodium azide","Flow through cell","Jss= 0.10+-0.03 ug/(cm^2*h); c=1.05mg/ml","donor medium applied as suspention","Sznitowska, 2001","10.1016/s0168-3659(01)00443-6"
"Hydrocortisone","OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-9.195","Cadaver","abdomen","epidermis, dermis","dermatomed 600um","-80","60","0","32","","Propylene glycol","","","PBS with ethanol","Franz cell","Jss= 0.023±0.007 ug/(cm^2*h); c=1%","","Schmook, 2001","10.1016/S0378-5173(00)00665-7"
"Hydrocortisone 21-(6-hydroxyhexanoate)","OCCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-6.597","Abdominoplasty or cadaver","","stratum corneum","trypsinisation","4","8.5 (7-10)","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","","","Anderson, 1988","10.1023/a:1015989929342"
"Hydrocortisone 21-(N,N-dimethylsuccinamate)","O=C(CCC(=O)N(C)C)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-7.73","Abdominoplasty or cadaver","","stratum corneum","trypsinisation","4","8.5 (7-10)","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","","","Anderson, 1988","10.1023/a:1015989929342"
"Hydrocortisone 21-Hemipimelate","OC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-6.301","Abdominoplasty or cadaver","","stratum corneum","trypsinisation","4","8.5 (7-10)","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","","","Anderson, 1988","10.1023/a:1015989929342"
"Hydrocortisone 21-Hemisuccinate","OC(=O)CCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-6.757","Abdominoplasty or cadaver","","stratum corneum","trypsinisation","4","8.5 (7-10)","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","","","Anderson, 1988","10.1023/a:1015989929342"
"Hydrocortisone 21-Hexanoate","CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-5.301","Abdominoplasty or cadaver","","stratum corneum","trypsinisation","4","8.5 (7-10)","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","","","Anderson, 1988","10.1023/a:1015989929342"
"Hydrocortisone 21-methylpimelate","COC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-5.824","Abdominoplasty or cadaver","","stratum corneum","trypsinisation","4","8.5 (7-10)","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","","","Anderson, 1988","10.1023/a:1015989929342"
"Hydrocortisone 21-methylsuccinate","COC(=O)CCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-7.234","Abdominoplasty or cadaver","","stratum corneum","trypsinisation","4","8.5 (7-10)","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","","","Anderson, 1988","10.1023/a:1015989929342"
"Hydrocortisone 21-octanoate","CCCCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-4.764","Abdominoplasty or cadaver","","stratum corneum","trypsinisation","4","8.5 (7-10)","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","","","Anderson, 1988","10.1023/a:1015989929342"
"Hydrocortisone 21-pimelamate","NC(=O)CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-6.607","Abdominoplasty or cadaver","","stratum corneum","trypsinisation","4","8.5 (7-10)","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","","","Anderson, 1988","10.1023/a:1015989929342"
"Hydrocortisone 21-propionate","CCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-6.038","Abdominoplasty or cadaver","","epidermis, dermis","dry heat separation","4","8.5 (7-10)","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","","","Anderson, 1988","10.1023/a:1015989929342"
"Hydrocortisone 21-propionate","CCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-6.025","Abdominoplasty or cadaver","","stratum corneum","trypsinisation","4","8.5 (7-10)","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","","","Anderson, 1988","10.1023/a:1015989929342"
"Hydrocortisone 21-succinamate","NC(=O)CCC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C","-8.141","Abdominoplasty or cadaver","","stratum corneum","trypsinisation","4","8.5 (7-10)","0","37","4","Succinate solution","37","4","Succinate solution","Flow through cell","","","Anderson, 1988","10.1023/a:1015989929342"
"Hydromorphone","O=C1CC[C@@H]2[C@@]34[C@H]1Oc1c4c(C[C@H]2N(CC3)C)ccc1O","-8.38","Cadaver","abdomen","epidermis","heat separation","-20","","0","37","7.4","Citrate-phosphate buffer","37","7.4","","Glass diffusion cell","","","Roy, 1989","10.1023/A:1015944018555"
"Hydroquinone","Oc1ccc(cc1)O","-6.506","Abdominoplasty","abdomen","epidermis","heat separation","-17","","0","37","","Water","37","7.4","PBS","Franz cell","","","du Plessis, 2002","10.1016/S0928-0987(02)00085-4"
"Hydroquinone","Oc1ccc(cc1)O","-8.586","","abdomen","stratum corneum","heat separation","-70","","0","","","","30","7.1","Dulbecco PBS with penicillin, streptomycin and amphotericin","Franz cell","","","Barber, 1995","10.1016/0378-4274(95)03393-Y"
"Hydroxypregnenolone","CC(=O)[C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CCC(C2)(O)O","-6.778","","","epidermis","","","","0","26","","","26","","","","","","Scheuplein, 1969","10.1038/jid.1969.9"
